repo_id,repo_name,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
191,jabref,11934,1500,0,2,0,0,0,10
192,jai-ext,792,578,1,0,6,77,0,0
193,jannovar,885,679,1,0,0,29,0,0
194,Java2Cpp-Translator,190,46,2,0,203,203,0,3
195,Java-Helps-Java,633,183,0,1,0,0,0,1
196,java-semantic-diff,65,36,0,0,0,0,0,1
197,javersion,346,271,0,0,0,0,0,10
198,jaybird,949,807,0,0,0,0,0,0
199,JBotSim,424,236,0,1,0,0,0,14
200,jdbi,1084,844,0,0,0,0,0,0
201,jd-gui,357,222,1,0,0,0,0,4
202,jdmn,2223,1196,0,0,0,0,0,0
203,jet,75,0,0,0,0,0,0,0
204,jetbrains-plugin-sample,75,29,0,0,0,0,0,0
205,jetbrains-plugin-st4,80,30,0,0,0,0,0,0
206,jetbrick-template-1x,314,135,0,0,0,0,0,61
207,jetbrick-template-2x,242,186,0,0,0,0,0,49
208,jira-plugins-groovy,701,397,2,0,0,9,0,7
209,jkind,530,373,2,1,9,1,0,48
210,jmint,108,55,2,3,12,3,0,7
211,jnosql,1019,867,2,0,3,37,0,0
212,jobson,449,206,0,1,0,0,0,7
213,joern,1469,527,2,0,69,45,0,9
214,jplag,392,180,0,0,60,26,0,35
215,JsDroidMobile,2804,778,0,1,0,0,0,55
216,JSONata4Java,667,138,0,2,0,0,0,37
217,Json-Eclipse-Plugin,225,61,0,7,0,0,0,26
218,JsonSurfer,148,94,0,1,0,0,0,20
219,JsonTemplate,92,62,1,0,15,6,0,0
220,JsoupXpath,101,64,0,1,0,0,0,26
221,jStyleParser,358,247,0,0,0,0,0,46
222,JuliaDT,213,93,0,1,0,0,0,37
223,jvmBASIC,233,107,0,0,0,0,0,0
224,JVM-Math-Language,52,20,1,0,0,5,0,0
225,k3po,2652,767,0,1,0,1,0,113
226,kafka-connect-query-language,61,16,0,0,3,57,0,0
227,kafkasql,98,54,0,0,0,0,0,0
228,kalang,384,251,0,1,0,0,0,168
229,karate,908,463,1,0,4,0,0,0
230,kodokojo,258,189,1,0,0,4,0,0
231,kotlin-parser,78,1,1,0,2,0,0,0
232,kripton,5009,4856,1,0,56,13,0,25
233,KROKI-mockup-tool,1457,746,1,0,0,0,0,0
234,ksql,2741,1680,0,2,0,0,0,363
235,ksql-fork-with-deep-learning-function,781,522,0,2,0,0,0,333
236,latexdraw,1173,765,2,0,6,127,0,1
237,libra,155,118,0,1,0,0,0,25
238,liferay-portal,75978,32075,2,2,9,9,0,280
239,linden,647,192,1,0,2,60,0,4
240,Liqp,238,183,0,1,0,0,0,44
241,Llunatic,2907,832,0,0,0,0,0,18
242,lockss-daemon,6279,3445,2,0,8,10,0,20
243,LogHub,386,238,1,0,22,25,0,0
244,logicaldecoding,66,25,1,0,10,3,0,0
245,logical-rules-parser-antlr,106,24,1,0,3,15,0,0
246,LogicNG,598,349,0,0,0,0,0,0
247,logparser,275,148,1,0,44,0,0,0
248,Lucene-7.5.0,25154,7786,0,0,0,0,0,45
249,lucene-solr,12531,8502,0,0,0,0,0,52
250,macrobase,745,429,1,1,0,4,0,94
251,MaritimeCloud,505,428,0,0,0,0,0,2
252,martins-developer-world,161,75,0,0,0,5,0,0
253,MASTER,168,83,1,3,1,6,0,29
254,maxwell,487,216,1,0,4,24,0,1
255,mdmlang,56,20,1,0,1,0,0,0
256,metadata-ms,444,318,1,0,19,5,0,0
257,metron,3209,1342,2,0,6,22,0,6
258,mini-markdown,128,3,0,0,0,0,0,0
259,moar,121,66,2,0,2,18,0,0
260,Modulo7,280,217,0,0,0,0,0,0
261,monasca-common,298,138,1,0,10,5,0,0
262,monsoon,674,486,0,0,0,0,0,0
263,MPL,440,301,3,0,35,13,0,45
264,MSPaintIDE,276,166,0,0,0,0,0,0
265,mt-dynamo,215,145,0,2,0,0,0,2
266,Mu,86,3,0,1,0,0,0,19
267,mumbler,124,67,0,1,0,0,0,8
268,mvn-golang,267,49,0,0,0,0,0,0
269,nadel,191,105,0,0,0,0,0,15
270,NBStudio,277,106,2,0,21,10,0,0
271,neo4j-apoc-procedures,868,482,0,0,0,0,0,1
272,netbeans,79766,37529,0,3,204,8,0,1969
273,nginx-java-parser,102,35,1,0,1,0,0,0
274,notaql,490,182,0,16,0,0,0,100
275,nub,45,7,0,0,0,0,0,11
276,Objc2Lua,91,11,1,0,5,141,0,0
277,octopus,216,156,1,0,2,44,0,0
278,oddjob,1834,1317,1,0,0,4,0,0
279,ojai,233,148,0,0,0,0,0,0
280,onedev,3860,2033,0,1,0,0,0,68
