repo_id,address,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
316,odiszapc/nginx-java-parser,102,35,1,0,1,0,0,0
317,ojai/ojai,233,148,0,0,0,0,0,0
318,ontop/ontop,8936,1747,0,1,0,0,0,82
319,opencast/opencast,5910,2065,0,1,0,0,0,1
320,opencypher/openCypher,403,181,2,0,0,38,0,29
321,opendaylight/yangtools,3484,2155,0,1,0,2,0,4
322,opendistro-for-elasticsearch/sql,516,404,0,1,0,0,0,62
323,openstack/monasca-common,298,138,1,0,10,5,0,0
324,openvalidation/openvalidation,598,357,1,0,0,1,0,0
325,oracle/graal,10472,7552,0,0,3,8,0,233
