repo_id,address,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
429,yegor256/requs,260,90,0,0,0,0,0,0
430,yesworkflow-org/yw-prototypes,804,125,0,0,0,0,0,1
431,youseries/ureport,833,468,0,1,0,0,0,4
432,youseries/urule,932,553,0,1,9,0,0,10
433,yshavit/antlr-denter,59,11,0,1,0,0,0,2
434,zendesk/maxwell,487,216,1,0,4,24,0,1
435,zhegexiaohuozi/JsoupXpath,101,64,0,1,0,0,0,26
436,zhunki/skyfire,166,20,0,0,0,0,0,0
437,zkoss/ztl,98,49,1,0,11,16,10,0
438,zstackio/zstack,11550,8962,0,22,0,0,0,26
