repo_id,repo_name,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
123,antlr-tutorial,0,0,0,0,0,0,0
124,SourceFu,0,0,0,0,0,0,0
125,teavm-flavour,0,0,0,0,0,0,0
126,vercors,0,0,0,0,0,0,0
127,pcre-parser,0,0,0,0,0,0,0
128,protobuf-el,0,0,0,0,0,0,0
129,simplelanguage,0,0,0,0,0,0,0
130,proleap-vb6-parser,0,0,0,0,0,0,0
131,opensearchserver,0,0,0,0,0,0,0
132,GRASSMARLIN,0,0,0,0,0,0,0
133,cfparser,0,0,0,0,0,0,0
134,perspective-backend,0,0,0,0,0,0,0
135,scotch-lang,0,0,0,0,0,0,0
136,components,0,0,0,0,0,0,0
137,antlr4,0,0,0,0,0,0,0
138,systemds,0,0,0,0,0,0,0
139,apollo-android,0,0,0,0,0,0,0
140,CQL,0,0,0,0,0,0,0
141,ANTLR4-SqlBase,0,0,0,0,0,0,0
142,turin-programming-language,0,0,0,0,0,0,0
143,jaybird,0,0,0,0,0,0,0
144,LogHub,0,0,0,0,0,0,0
145,ureport,0,0,0,0,0,0,0
146,NBStudio,0,0,0,0,0,0,0
147,ojai,0,0,0,0,0,0,0
148,bigbash,0,0,0,0,0,0,0
149,SNL-Compiler,0,0,0,0,0,0,0
150,zish,0,0,0,0,0,0,0
151,antlr4-sandbox,0,0,0,0,0,0,0
152,zserio,0,0,0,0,0,0,0
153,TypeScript,0,0,0,0,0,0,0
154,cqengine,0,0,0,0,0,0,0
155,EmojIDE,0,0,0,0,0,0,0
156,kotlin-parser,0,0,0,0,0,0,0
157,pwe,0,0,0,0,0,0,0
158,antlr4-intellij-adaptor,0,0,0,0,0,0,0
159,nub,0,0,0,0,0,0,0
160,jnosql,0,0,0,0,0,0,0
161,tom,0,0,0,0,0,0,0
162,ztl,0,0,0,0,0,0,0
163,siddhi,0,0,0,0,0,0,0
164,gdl,0,0,0,0,0,0,0
165,ANTLR-Swift-Target,0,0,0,0,0,0,0
166,jobson,0,0,0,0,0,0,0
167,uberscriptquery,0,0,0,0,0,0,0
168,elide,0,0,0,0,0,0,0
