80,jabref,0,0,0,0,0,0,0,0,0,0
81,hive,0,0,0,0,0,0,0,0,0,0
82,SSM,0,0,0,0,0,0,0,0,0,0
83,graylog2-server,0,0,0,0,0,0,0,0,0,0
84,Modulo7,0,0,0,0,0,0,0,0,0,0
85,directory-scimple,0,0,0,0,0,0,0,0,0,0
86,rewrite,0,0,0,0,0,0,0,0,0,0
87,ankor-framework,0,0,0,0,0,0,0,0,0,0
88,SpinalTap,0,0,0,0,0,0,0,0,0,0
89,PlayWithCompiler,0,0,0,0,0,0,0,0,0,0
90,jetbrains-plugin-sample,0,0,0,0,0,0,0,0,0,0
91,SCIMple-Identity,0,0,0,0,0,0,0,0,0,0
92,RESOLVE,0,0,0,0,0,0,0,0,0,0
93,drill,0,0,0,0,0,0,0,0,0,0
94,zemberek-nlp,0,0,0,0,0,0,0,0,0,0
95,bvr,0,0,0,0,0,0,0,0,0,0
96,iBioSim,0,0,0,0,0,0,0,0,0,0
97,robozonky,0,0,0,0,0,0,0,0,0,0
98,sqat,0,0,0,0,0,0,0,0,0,0
99,snowride,0,0,0,0,0,0,0,0,0,0
100,linden,0,0,0,0,0,0,0,0,0,0
101,Gaalop,0,0,0,0,0,0,0,0,0,0
102,Refactoring-Bot,0,0,0,0,0,0,0,0,0,0
103,DotNetCore-for-NetBeans,0,0,0,0,0,0,0,0,0,0
104,alchemy,0,0,0,0,0,0,0,0,0,0
105,Scratch-ApuC,0,0,0,0,0,0,0,0,0,0
106,blaze-persistence,0,0,0,0,0,0,0,0,0,0
107,cloudml,0,0,0,0,0,0,0,0,0,0
108,slang,0,0,0,0,0,0,0,0,0,0
109,SqlParser,0,0,0,0,0,0,0,0,0,0
110,Algogo,0,0,0,0,0,0,0,0,0,0
111,clone_repositories.sh,0,0,0,0,0,0,0,0,0,0
112,toys,0,0,0,0,0,0,0,0,0,0
113,antlr4-python,0,0,0,0,0,0,0,0,0,0
114,cava,0,0,0,0,0,0,0,0,0,0
115,apt,0,0,0,0,0,0,0,0,0,0
116,SearchRepair,0,0,0,0,0,0,0,0,0,0
117,FHIR,0,0,0,0,0,0,0,0,0,0
118,SourceCounter,0,0,0,0,0,0,0,0,0,0
